,Year,Mean,Highest,Lowest
0,2003,177.47,203.0,120.0
1,2004,183.15,218.0,132.0
2,2005,187.23,234.0,132.0
3,2006,195.1,259.0,141.0
4,2007,193.82,248.0,69.0
5,2008,191.04,239.0,135.0
6,2009,198.92,270.0,162.0
7,2010,194.88,252.0,153.0
8,2011,186.2,237.0,151.0
9,2012,190.58,234.0,154.0
10,2013,190.94,243.0,148.0
11,2014,197.65,246.0,157.0
12,2015,197.98,264.0,146.0
13,2016,203.71,259.0,162.0
14,2017,206.8,252.0,144.0
15,2018,219.65,268.0,179.0
16,2019,216.32,277.0,167.0
17,2020,217.82,256.0,168.0
18,2021,215.82,244.0,164.0
